0;5;10;15;20;25;30;50
1;4;2;1.33;1;0.8;0.67;0.4
2;2;1;0.67;0.5;0.4;0.33;0.2
3;1.33;0.67;0.44;0.33;0.27;0.22;0.13
5;0.8;0.4;0.27;0.2;0.16;0.13;0.08
10;0.4;0.2;0.13;0.1;0.08;0.07;0.04
